length	width	species	stage	species.stage
932	58	C. elegans	Gravid adult	C. elegans Gravid adult
1064	73	C. elegans	Gravid adult	C. elegans Gravid adult
879	46	C. inopinata	L4	C. inopinata L4
1064	50	C. inopinata	L4	C. inopinata L4
1047	44	C. inopinata	L4	C. inopinata L4
852	49	C. inopinata	L4	C. inopinata L4
1007	48	C. inopinata	L4	C. inopinata L4
937	52	C. inopinata	L4	C. inopinata L4
890	40	C. inopinata	L4	C. inopinata L4
957	48	C. inopinata	L4	C. inopinata L4
1042	48	C. inopinata	L4	C. inopinata L4
992	48	C. inopinata	L4	C. inopinata L4
975	48	C. inopinata	L4	C. inopinata L4
877	40	C. inopinata	L4	C. inopinata L4
960	42	C. inopinata	L4	C. inopinata L4
964	42	C. inopinata	L4	C. inopinata L4
994	45	C. inopinata	L4	C. inopinata L4
759	33	C. inopinata	L4	C. inopinata L4
897	38	C. inopinata	L4	C. inopinata L4
993	50	C. inopinata	L4	C. inopinata L4
873	44	C. inopinata	L4	C. inopinata L4
923	50	C. inopinata	L4	C. inopinata L4
964	43	C. inopinata	L4	C. inopinata L4
1030	45	C. inopinata	L4	C. inopinata L4
956	48	C. inopinata	L4	C. inopinata L4
918	40	C. inopinata	L4	C. inopinata L4
889	52	C. inopinata	L4	C. inopinata L4
1008	44	C. inopinata	L4	C. inopinata L4
1018	47	C. inopinata	L4	C. inopinata L4
840	41	C. inopinata	L4	C. inopinata L4
930	42	C. inopinata	L4	C. inopinata L4
971	47	C. inopinata	L4	C. inopinata L4
992	51	C. inopinata	L4	C. inopinata L4
830	36	C. inopinata	L4	C. inopinata L4
1038	51	C. inopinata	L4	C. inopinata L4
444	24	C. briggsae	Dauer	C. briggsae Dauer
380	17	C. briggsae	Dauer	C. briggsae Dauer
461	15	C. briggsae	Dauer	C. briggsae Dauer
461	13	C. briggsae	Dauer	C. briggsae Dauer
441	17	C. briggsae	Dauer	C. briggsae Dauer
416	18	C. briggsae	Dauer	C. briggsae Dauer
409	16	C. briggsae	Dauer	C. briggsae Dauer
459	17	C. briggsae	Dauer	C. briggsae Dauer
422	17	C. briggsae	Dauer	C. briggsae Dauer
460	19	C. briggsae	Dauer	C. briggsae Dauer
345	16	C. briggsae	Dauer	C. briggsae Dauer
520	17	C. briggsae	Dauer	C. briggsae Dauer
472	17	C. briggsae	Dauer	C. briggsae Dauer
484	16	C. briggsae	Dauer	C. briggsae Dauer
415	13	C. briggsae	Dauer	C. briggsae Dauer
437	12	C. briggsae	Dauer	C. briggsae Dauer
408	12	C. briggsae	Dauer	C. briggsae Dauer
512	15	C. briggsae	Dauer	C. briggsae Dauer
448	18	C. briggsae	Dauer	C. briggsae Dauer
425	15	C. briggsae	Dauer	C. briggsae Dauer
481	20	C. briggsae	Dauer	C. briggsae Dauer
399	14	C. briggsae	Dauer	C. briggsae Dauer
319	17	C. briggsae	Dauer	C. briggsae Dauer
423	17	C. briggsae	Dauer	C. briggsae Dauer
529	14	C. briggsae	Dauer	C. briggsae Dauer
420	15	C. briggsae	Dauer	C. briggsae Dauer
416	13	C. briggsae	Dauer	C. briggsae Dauer
448	12	C. briggsae	Dauer	C. briggsae Dauer
398	12	C. briggsae	Dauer	C. briggsae Dauer
495	20	C. briggsae	Dauer	C. briggsae Dauer
493	23	C. briggsae	Dauer	C. briggsae Dauer
457	18	C. briggsae	Dauer	C. briggsae Dauer
480	19	C. briggsae	Dauer	C. briggsae Dauer
415	18	C. briggsae	Dauer	C. briggsae Dauer
433	19	C. briggsae	Dauer	C. briggsae Dauer
445	24	C. briggsae	Dauer	C. briggsae Dauer
437	22	C. briggsae	Dauer	C. briggsae Dauer
428	15	C. briggsae	Dauer	C. briggsae Dauer
405	17	C. briggsae	Dauer	C. briggsae Dauer
471	24	C. briggsae	Dauer	C. briggsae Dauer
419	17	C. briggsae	Dauer	C. briggsae Dauer
439	19	C. briggsae	Dauer	C. briggsae Dauer
505	18	C. briggsae	Dauer	C. briggsae Dauer
448	18	C. briggsae	Dauer	C. briggsae Dauer
400	16	C. briggsae	Dauer	C. briggsae Dauer
488	21	C. briggsae	Dauer	C. briggsae Dauer
454	19	C. briggsae	Dauer	C. briggsae Dauer
434	19	C. briggsae	Dauer	C. briggsae Dauer
555	17	C. briggsae	Dauer	C. briggsae Dauer
495	18	C. briggsae	Dauer	C. briggsae Dauer
429	18	C. briggsae	Dauer	C. briggsae Dauer
474	21	C. briggsae	Dauer	C. briggsae Dauer
464	17	C. briggsae	Dauer	C. briggsae Dauer
484	21	C. briggsae	Dauer	C. briggsae Dauer
396	16	C. briggsae	Dauer	C. briggsae Dauer
392	15	C. briggsae	Dauer	C. briggsae Dauer
480	18	C. briggsae	Dauer	C. briggsae Dauer
456	20	C. briggsae	Dauer	C. briggsae Dauer
474	16	C. briggsae	Dauer	C. briggsae Dauer
468	20	C. briggsae	Dauer	C. briggsae Dauer
496	26	C. briggsae	Dauer	C. briggsae Dauer
443	18	C. briggsae	Dauer	C. briggsae Dauer
427	17	C. briggsae	Dauer	C. briggsae Dauer
492	23	C. briggsae	Dauer	C. briggsae Dauer
463	18	C. briggsae	Dauer	C. briggsae Dauer
466	19	C. briggsae	Dauer	C. briggsae Dauer
452	20	C. briggsae	Dauer	C. briggsae Dauer
462	19	C. briggsae	Dauer	C. briggsae Dauer
488	18	C. briggsae	Dauer	C. briggsae Dauer
531	23	C. briggsae	Dauer	C. briggsae Dauer
346	16	C. briggsae	Dauer	C. briggsae Dauer
418	13	C. briggsae	Dauer	C. briggsae Dauer
452	12	C. briggsae	Dauer	C. briggsae Dauer
535	20	C. briggsae	Dauer	C. briggsae Dauer
574	17	C. briggsae	Dauer	C. briggsae Dauer
463	14	C. briggsae	Dauer	C. briggsae Dauer
362	13	C. briggsae	Dauer	C. briggsae Dauer
428	15	C. briggsae	Dauer	C. briggsae Dauer
481	14	C. briggsae	Dauer	C. briggsae Dauer
441	13	C. briggsae	Dauer	C. briggsae Dauer
449	16	C. briggsae	Dauer	C. briggsae Dauer
485	20	C. briggsae	Dauer	C. briggsae Dauer
469	17	C. briggsae	Dauer	C. briggsae Dauer
432	12	C. briggsae	Dauer	C. briggsae Dauer
476	23	C. briggsae	Dauer	C. briggsae Dauer
533	18	C. tropicalis	Dauer	C. tropicalis Dauer
493	19	C. tropicalis	Dauer	C. tropicalis Dauer
524	14	C. tropicalis	Dauer	C. tropicalis Dauer
533	21	C. tropicalis	Dauer	C. tropicalis Dauer
533	18	C. tropicalis	Dauer	C. tropicalis Dauer
493	19	C. tropicalis	Dauer	C. tropicalis Dauer
524	14	C. tropicalis	Dauer	C. tropicalis Dauer
533	21	C. tropicalis	Dauer	C. tropicalis Dauer
340	13	C. tropicalis	Dauer	C. tropicalis Dauer
489	18	C. tropicalis	Dauer	C. tropicalis Dauer
473	18	C. tropicalis	Dauer	C. tropicalis Dauer
538	21	C. tropicalis	Dauer	C. tropicalis Dauer
502	22	C. tropicalis	Dauer	C. tropicalis Dauer
538	16	C. tropicalis	Dauer	C. tropicalis Dauer
422	20	C. tropicalis	Dauer	C. tropicalis Dauer
425	17	C. tropicalis	Dauer	C. tropicalis Dauer
476	20	C. tropicalis	Dauer	C. tropicalis Dauer
461	18	C. tropicalis	Dauer	C. tropicalis Dauer
551	23	C. tropicalis	Dauer	C. tropicalis Dauer
503	19	C. tropicalis	Dauer	C. tropicalis Dauer
441	14	C. tropicalis	Dauer	C. tropicalis Dauer
443	18	C. tropicalis	Dauer	C. tropicalis Dauer
550	23	C. tropicalis	Dauer	C. tropicalis Dauer
473	12	C. tropicalis	Dauer	C. tropicalis Dauer
583	14	C. tropicalis	Dauer	C. tropicalis Dauer
451	13	C. tropicalis	Dauer	C. tropicalis Dauer
458	20	C. tropicalis	Dauer	C. tropicalis Dauer
540	31	C. tropicalis	Dauer	C. tropicalis Dauer
491	18	C. tropicalis	Dauer	C. tropicalis Dauer
583	27	C. tropicalis	Dauer	C. tropicalis Dauer
481	16	C. tropicalis	Dauer	C. tropicalis Dauer
495	14	C. tropicalis	Dauer	C. tropicalis Dauer
534	17	C. tropicalis	Dauer	C. tropicalis Dauer
461	18	C. tropicalis	Dauer	C. tropicalis Dauer
502	17	C. tropicalis	Dauer	C. tropicalis Dauer
498	13	C. tropicalis	Dauer	C. tropicalis Dauer
445	18	C. tropicalis	Dauer	C. tropicalis Dauer
531	23	C. tropicalis	Dauer	C. tropicalis Dauer
457	15	C. tropicalis	Dauer	C. tropicalis Dauer
530	21	C. tropicalis	Dauer	C. tropicalis Dauer
589	23	C. tropicalis	Dauer	C. tropicalis Dauer
449	18	C. tropicalis	Dauer	C. tropicalis Dauer
604	21	C. tropicalis	Dauer	C. tropicalis Dauer
541	21	C. tropicalis	Dauer	C. tropicalis Dauer
483	19	C. tropicalis	Dauer	C. tropicalis Dauer
424	16	C. tropicalis	Dauer	C. tropicalis Dauer
520	16	C. tropicalis	Dauer	C. tropicalis Dauer
496	16	C. tropicalis	Dauer	C. tropicalis Dauer
476	19	C. tropicalis	Dauer	C. tropicalis Dauer
550	19	C. tropicalis	Dauer	C. tropicalis Dauer
554	18	C. tropicalis	Dauer	C. tropicalis Dauer
507	22	C. tropicalis	Dauer	C. tropicalis Dauer
562	19	C. tropicalis	Dauer	C. tropicalis Dauer
522	23	C. tropicalis	Dauer	C. tropicalis Dauer
472	22	C. tropicalis	Dauer	C. tropicalis Dauer
427	13	C. tropicalis	Dauer	C. tropicalis Dauer
432	17	C. tropicalis	Dauer	C. tropicalis Dauer
494	18	C. tropicalis	Dauer	C. tropicalis Dauer
452	18	C. tropicalis	Dauer	C. tropicalis Dauer
417	19	C. tropicalis	Dauer	C. tropicalis Dauer
504	18	C. tropicalis	Dauer	C. tropicalis Dauer
457	15	C. tropicalis	Dauer	C. tropicalis Dauer
455	20	C. tropicalis	Dauer	C. tropicalis Dauer
467	18	C. tropicalis	Dauer	C. tropicalis Dauer
594	19	C. tropicalis	Dauer	C. tropicalis Dauer
468	16	C. tropicalis	Dauer	C. tropicalis Dauer
453	18	C. tropicalis	Dauer	C. tropicalis Dauer
482	16	C. tropicalis	Dauer	C. tropicalis Dauer
501	22	C. tropicalis	Dauer	C. tropicalis Dauer
413	15	C. tropicalis	Dauer	C. tropicalis Dauer
456	21	C. tropicalis	Dauer	C. tropicalis Dauer
505	21	C. tropicalis	Dauer	C. tropicalis Dauer
464	16	C. tropicalis	Dauer	C. tropicalis Dauer
489	18	C. tropicalis	Dauer	C. tropicalis Dauer
540	23	C. tropicalis	Dauer	C. tropicalis Dauer
459	17	C. tropicalis	Dauer	C. tropicalis Dauer
560	15	C. tropicalis	Dauer	C. tropicalis Dauer
557	23	C. tropicalis	Dauer	C. tropicalis Dauer
552	26	C. tropicalis	Dauer	C. tropicalis Dauer
501	18	C. tropicalis	Dauer	C. tropicalis Dauer
478	17	C. tropicalis	Dauer	C. tropicalis Dauer
500	20	C. tropicalis	Dauer	C. tropicalis Dauer
531	20	C. tropicalis	Dauer	C. tropicalis Dauer
571	23	C. tropicalis	Dauer	C. tropicalis Dauer
547	23	C. tropicalis	Dauer	C. tropicalis Dauer
485	16	C. tropicalis	Dauer	C. tropicalis Dauer
566	27	C. tropicalis	Dauer	C. tropicalis Dauer
474	18	C. tropicalis	Dauer	C. tropicalis Dauer
473	20	C. tropicalis	Dauer	C. tropicalis Dauer
540	20	C. tropicalis	Dauer	C. tropicalis Dauer
571	22	C. tropicalis	Dauer	C. tropicalis Dauer
465	17	C. tropicalis	Dauer	C. tropicalis Dauer
521	17	C. tropicalis	Dauer	C. tropicalis Dauer
